                                                                                                             
{'loss': '0.1124', 'grad_norm': '0.2199', 'learning_rate': '0.000124', 'epoch': '1.141'}
{'loss': '0.11', 'grad_norm': '0.2493', 'learning_rate': '0.0001236', 'epoch': '1.146'}
{'loss': '0.1069', 'grad_norm': '0.1864', 'learning_rate': '0.0001233', 'epoch': '1.151'}
{'loss': '0.1079', 'grad_norm': '0.1179', 'learning_rate': '0.000123', 'epoch': '1.156'}
{'loss': '0.1129', 'grad_norm': '0.2673', 'learning_rate': '0.0001226', 'epoch': '1.161'}
{'loss': '0.09871', 'grad_norm': '0.2021', 'learning_rate': '0.0001223', 'epoch': '1.166'}
{'loss': '0.1154', 'grad_norm': '0.1057', 'learning_rate': '0.0001219', 'epoch': '1.172'}
{'loss': '0.1004', 'grad_norm': '0.1024', 'learning_rate': '0.0001216', 'epoch': '1.177'}
{'loss': '0.1147', 'grad_norm': '0.2315', 'learning_rate': '0.0001212', 'epoch': '1.182'}
{'loss': '0.1111', 'grad_norm': '0.1717', 'learning_rate': '0.0001209', 'epoch': '1.187'}
{'loss': '0.1209', 'grad_norm': '0.2454', 'learning_rate': '0.0001206', 'epoch': '1.192'}
{'loss': '0.1094', 'grad_norm': '0.1874', 'learning_rate': '0.0001202', 'epoch': '1.197'}
{'loss': '0.118', 'grad_norm': '0.2707', 'learning_rate': '0.0001199', 'epoch': '1.202'}
{'loss': '0.1044', 'grad_norm': '0.2029', 'learning_rate': '0.0001195', 'epoch': '1.208'}
{'loss': '0.1082', 'grad_norm': '0.1264', 'learning_rate': '0.0001192', 'epoch': '1.213'}
{'loss': '0.1143', 'grad_norm': '0.1878', 'learning_rate': '0.0001188', 'epoch': '1.218'}
{'loss': '0.1121', 'grad_norm': '0.1453', 'learning_rate': '0.0001185', 'epoch': '1.223'}
{'loss': '0.1121', 'grad_norm': '0.1452', 'learning_rate': '0.0001182', 'epoch': '1.228'}
{'loss': '0.1134', 'grad_norm': '0.141', 'learning_rate': '0.0001178', 'epoch': '1.233'}
{'loss': '0.116', 'grad_norm': '0.2556', 'learning_rate': '0.0001175', 'epoch': '1.238'}
{'loss': '0.1098', 'grad_norm': '0.1981', 'learning_rate': '0.0001171', 'epoch': '1.244'}
{'loss': '0.1073', 'grad_norm': '0.3382', 'learning_rate': '0.0001168', 'epoch': '1.249'}
{'loss': '0.1122', 'grad_norm': '0.1879', 'learning_rate': '0.0001164', 'epoch': '1.254'}
{'loss': '0.1096', 'grad_norm': '0.3325', 'learning_rate': '0.0001161', 'epoch': '1.259'}
